eventID,time_start,time_end,Duration,event,details,wikipedia,mnemonic,itemDifficulty,categories,America,Europe,Asia,Africa,China,Discovery,Britain,France,Greek,India,Invention,MiddleEast,prehistory,Religion,Roman,Royalty,Russia,Science,Wars,World,diffCat,NumYearStart,NumYearEnd
216,1590,1979,389,Ramnad Sethupathis,,Ramnad Sethupathis,,10,,,,,,,,,,,,,,,,,,,,,,H,1590,1979
217,1600,1850,250,Gorkha Empire,,Gorkha Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1600,1850
218,1603,1997,394,British Empire,,British Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1603,1997
219,1611,1721,110,Swedish Empire,,Swedish Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1611,1721
220,1631,2022 (current),390,Alaouite dynasty,,Alaouite dynasty,,10,,,,,,,,,,,,,,,,,,,,,,H,1631,2022 (current)
221,1644,1912,268,Qing dynasty,,Qing dynasty,,10,,,,,,,,,,,,,,,,,,,,,,H,1644,1912
222,1649,1660,11,Commonwealth of England,,Commonwealth of England,,10,,,,,,,,,,,,,,,,,,,,,,H,1649,1660
223,1660,1866,206,Rozwi Empire,,Rozwi Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1660,1866
224,1670,1896,226,Ashanti Empire,,Ashanti Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1670,1896
225,1674,1818,144,Maratha Empire,,Maratha Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1674,1818
226,1698,1856,158,Omani Empire,,Omani Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1698,1856
227,1700,1877,177,Lakota people,,Lakota people,,10,,,,,,,,,,,,,,,,,,,,,,H,1700,1877
228,1701,1871,170,Kingdom of Prussia,,Kingdom of Prussia,,10,,,,,,,,,,,,,,,,,,,,,,H,1701,1871
229,1705,1957,252,Husainid dynasty,,Husainid dynasty,,10,,,,,,,,,,,,,,,,,,,,,,H,1705,1957
230,1709,1738,29,Hotak dynasty,,Hotak dynasty,,10,,,,,,,,,,,,,,,,,,,,,,H,1709,1738
231,1710,1898,188,Kong Empire,,Kong Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1710,1898
232,1712,1861,149,Bamana Empire,,Bamana Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1712,1861
233,1721,1917,196,Russian Empire (Romanov),,Russian Empire (Romanov),,8,,,,,,,,,,,,,,,,,,,,,,H,1721,1917
234,1722,1945,223,Sultanate of Siak Sri Indrapura,,Sultanate of Siak Sri Indrapura,,10,,,,,,,,,,,,,,,,,,,,,,H,1722,1945
235,1733,1849,116,Sikh Empire,,Sikh Empire,,9,,,,,,,,,,,,,,,,,,,,,,H,1733,1849
236,1736,1796,60,Afsharid Dynasty,,Afsharid Dynasty,,10,,,,,,,,,,,,,,,,,,,,,,H,1736,1796
237,1747,1823,76,Durrani Empire,,Durrani Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1747,1823
238,1750,1794,44,Zand dynasty,,Zand dynasty,,10,,,,,,,,,,,,,,,,,,,,,,H,1750,1794
239,1750,1850,100,Comanche Empire,,Comanche Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1750,1850
240,1752,1885,133,Konbaung dynasty,,Konbaung dynasty,,10,,,,,,,,,,,,,,,,,,,,,,H,1752,1885
241,1778,1802,24,Tay Son dynasty,,T y S?n dynasty,,10,,,,,,,,,,,,,,,,,,,,,,H,1778,1802
242,1782,1932,150,Siam Empire,,Siam Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1782,1932
243,1794,1925,131,Qajar dynasty[citation needed],,Qajar dynasty[citation needed],,10,,,,,,,,,,,,,,,,,,,,,,H,1794,1925
244,1802,1945,143,Nguy?n dynasty,,Nguy?n dynasty,,10,,,,,,,,,,,,,,,,,,,,,,H,1802,1945
245,1804,1867,63,Austrian Empire,,Austrian Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1804,1867
246,1804,1815,11,First French Empire,,First French Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1804,1815
247,1804,1903,99,Sokoto Caliphate,,Sokoto Caliphate,,10,,,,,,,,,,,,,,,,,,,,,,H,1804,1903
248,1815,1853,,Period of relative peace in Europe - post Napoleonic War and before Crimean War,,,,4,,,,,,,,,,,,,,,,,,,,,,E,1815,1853
249,1818,1897,79,Zulu Empire,,Zulu Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1818,1897
250,1820,1862,42,Massina Empire,,Massina Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1820,1862
251,1821,1823,2,First Mexican Empire,,First Mexican Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1821,1823
252,1822,1889,67,Empire of Brazil,,Empire of Brazil,,10,,,,,,,,,,,,,,,,,,,,,,H,1822,1889
253,1824,1895,71,Gaza Empire,,Gaza Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1824,1895
254,1848,1893,45,Toucouleur Empire,,Toucouleur Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1848,1893
255,1852,1870,18,Second French Empire,,Second French Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1852,1870
256,1858,1947,89,British Raj,,British Raj,,10,,,,,,,,,,,,,,,,,,,,,,H,1858,1947
257,1864,1867,3,Second Mexican Empire,,Second Mexican Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1864,1867
258,1867,1918,51,Austria-Hungary,,Austria-Hungary,,6,,,,,,,,,,,,,,,,,,,,,,M,1867,1918
259,1868,1947,79,Empire of Japan,,Empire of Japan,,10,,,,,,,,,,,,,,,,,,,,,,H,1868,1947
260,1871,1918,47,German Empire,,German Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1871,1918
261,1878,1895,17,Wassoulou Empire,,Wassoulou Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1878,1895
262,1882,1947,65,Italian Empire,,Italian Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1882,1947
263,1885,1908,23,Congo Free State,,Congo Free State,,10,,,,,,,,,,,,,,,,,,,,,,H,1885,1908
264,1897,1910,13,Korean Empire,,Korean Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1897,1910
265,1901,1962,61,Belgian colonial empire,,Belgian colonial empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1901,1962
266,1917,1991,74,Soviet Union / Soviet Empire,,Soviet Union / Soviet Empire,,3,,,,,,,,,,,,,,,,,,,,,,E,1917,1991
267,1925,1979,54,Pahlavi dynasty,,Pahlavi dynasty,,10,,,,,,,,,,,,,,,,,,,,,,H,1925,1979
268,1932,1945,13,Manchukuo,,Manchukuo,,10,,,,,,,,,,,,,,,,,,,,,,H,1932,1945
269,1933,1945,12,Nazi Germany,,Nazi Germany,,10,,,,,,,,,,,,,,,,,,,,,,H,1933,1945
