eventID,time_start,time_end,Duration,event,details,wikipedia,mnemonic,itemDifficulty,categories,America,Europe,Asia,Africa,China,Discovery,Britain,France,Greek,India,Invention,MiddleEast,prehistory,Religion,Roman,Royalty,Russia,Science,Wars,World,diffCat,NumYearStart,NumYearEnd
44,27 BC,1453,1480,Roman Empire,,Roman Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,-27,1453
45,9,23,14,Xin dynasty,,Xin dynasty,,10,,,,,,,,,,,,,,,,,,,,,,H,9,23
46,30,345,315,Kushan Empire,,Kushan Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,30,345
47,50,550,500,Funan,,Funan,,10,,,,,,,,,,,,,,,,,,,,,,H,50,550
48,150,940,790,Aksumite Empire,,Aksumite Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,150,940
49,220,265,45,Cao Wei,,Cao Wei,,10,,,,,,,,,,,,,,,,,,,,,,H,220,265
50,221,263,42,Shu Han,,Shu Han,,10,,,,,,,,,,,,,,,,,,,,,,H,221,263
51,224,651,427,Sassanid dynasty,,Sassanid dynasty,,10,,,,,,,,,,,,,,,,,,,,,,H,224,651
52,229,280,51,Eastern Wu,,Eastern Wu,,10,,,,,,,,,,,,,,,,,,,,,,H,229,280
53,260,274,14,Gallic Empire,,Gallic Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,260,274
54,266,420,154,Jin dynasty (266 420),,Jin dynasty (266 420),,10,,,,,,,,,,,,,,,,,,,,,,H,266,420
55,270,273,3,Palmyrene Empire,,Palmyrene Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,270,273
56,286,296,10,Britannic Empire,,Britannic Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,286,296
57,300,1240,940,Ghana Empire,,Ghana Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,300,1240
58,320,550,230,Gupta Empire,,Gupta Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,320,550
59,330,1453,1123,Byzantine Empire,,Byzantine Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,330,1453
60,330,555,225,Rouran Khaganate,,Rouran Khaganate,,10,,,,,,,,,,,,,,,,,,,,,,H,330,555
61,345,540,195,Kadamba dynasty,,Kadamba dynasty,,10,,,,,,,,,,,,,,,,,,,,,,H,345,540
62,350,655,305,Varman dynasty,,Varman dynasty,,10,,,,,,,,,,,,,,,,,,,,,,H,350,655
63,370,469,99,Hunnic Empire,,Hunnic Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,370,469
64,395,476,81,Western Roman Empire,,Western Roman Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,395,476
65,420,567,147,Hephthalite Empire,,Hephthalite Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,420,567
66,435,534,99,Vandal Kingdom,,Vandal Kingdom,,10,,,,,,,,,,,,,,,,,,,,,,H,435,534
67,496,1122,626,Toltec Empire,,Toltec Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,496,1122
68,500,1100,600,Wari Empire,,Wari Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,500,1100
69,528,550,22,Aulikara Empire,,Aulikara Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,528,550
70,543,753,210,Chalukya dynasty,,Chalukya dynasty,,10,,,,,,,,,,,,,,,,,,,,,,H,543,753
71,550,802,252,Chenla,,Chenla,,10,,,,,,,,,,,,,,,,,,,,,,H,550,802
72,552,747,195,G kt rk Khaganate,,G kt rk Khaganate,,10,,,,,,,,,,,,,,,,,,,,,,H,552,747
73,581,618,37,Sui dynasty,,Sui dynasty,,10,,,,,,,,,,,,,,,,,,,,,,H,581,618
74,585,698,113,Exarchate of Africa,,Exarchate of Africa,,10,,,,,,,,,,,,,,,,,,,,,,H,585,698
75,600,1136,536,Gurjara-Pratihara dynasty,,Gurjara-Pratihara dynasty,,10,,,,,,,,,,,,,,,,,,,,,,H,600,1136
76,606,647,41,Empire of Harsha,,Empire of Harsha,,10,,,,,,,,,,,,,,,,,,,,,,H,606,647
77,618,907,289,Tang dynasty,,Tang dynasty,,10,,,,,,,,,,,,,,,,,,,,,,H,618,907
78,624,1189,565,Eastern Chalukya Empire,,Eastern Chalukya Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,624,1189
79,632,661,29,Rashidun Caliphate,,Rashidun Caliphate,,10,,,,,,,,,,,,,,,,,,,,,,H,632,661
80,650,900,250,Mlechchha dynasty,,Mlechchha dynasty,,10,,,,,,,,,,,,,,,,,,,,,,H,650,900
81,661,750,89,Umayyad Caliphate,,Umayyad Caliphate,,10,,,,,,,,,,,,,,,,,,,,,,H,661,750
82,680,1018,338,First Bulgarian Empire,,First Bulgarian Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,680,1018
83,683,1293,610,Srivijaya Empire,,Srivijaya Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,683,1293
84,690,705,15,Zhou2 dynasty,,Zhou dynasty (690 705),,10,,,,,,,,,,,,,,,,,,,,,,H,690,705
85,697,1797,1100,Republic of Venice,,Republic of Venice,,10,,,,,,,,,,,,,,,,,,,,,,H,697,1797
86,698,926,228,Balhae,,Balhae,,10,,,,,,,,,,,,,,,,,,,,,,H,698,926
87,699,766,67,Turgesh Khaganate,,Turgesh Khaganate,,10,,,,,,,,,,,,,,,,,,,,,,H,699,766
88,700,1000,300,Khazar Khaganate,,Khazar Khaganate,,10,,,,,,,,,,,,,,,,,,,,,,H,700,1000
89,700,1387,687,Kanem Empire,,Kanem Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,700,1387
90,742,848,106,Uyghur Khaganate,,Uyghur Khaganate,,10,,,,,,,,,,,,,,,,,,,,,,H,742,848
91,750,1258,508,Abbasid Caliphate,,Abbasid Caliphate,,10,,,,,,,,,,,,,,,,,,,,,,H,750,1258
92,750,1174,424,Pala Empire,,Pala Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,750,1174
93,753,982,229,Rashtrakuta dynasty,,Rashtrakuta dynasty,,10,,,,,,,,,,,,,,,,,,,,,,H,753,982
94,755,842,87,Tibetan Empire,,Tibetan Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,755,842
95,756,1031,275,Caliphate of C rdoba,,Caliphate of C rdoba,,10,,,,,,,,,,,,,,,,,,,,,,H,756,1031
96,777,909,132,Rustamid dynasty,,Rustamid dynasty,,10,,,,,,,,,,,,,,,,,,,,,,H,777,909
97,788,974,186,Idrisid dynasty,,Idrisid dynasty,,10,,,,,,,,,,,,,,,,,,,,,,H,788,974
98,800,909,109,Aghlabid Emirate,,Aghlabid Emirate,,10,,,,,,,,,,,,,,,,,,,,,,H,800,909
99,800,843,43,Frankish Empire,,Frankish Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,800,843
100,800,1200,400,Chauhan dynasty,,Chauhan dynasty,,10,,,,,,,,,,,,,,,,,,,,,,H,800,1200
101,802,1431,629,Khmer Empire,,Khmer Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,802,1431
102,819,999,180,Samanid Empire,,Samanid Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,819,999
103,821,873,52,Tahirid dynasty,,Tahirid dynasty,,10,,,,,,,,,,,,,,,,,,,,,,H,821,873
104,833,900,67,Great Moravian Empire,,Great Moravian Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,833,900
105,835,1832,997,Kachari kingdom[1],,Kachari kingdom[1],,10,,,,,,,,,,,,,,,,,,,,,,H,835,1832
106,840,1212,372,Kara-Khanid Khanate,,Kara-Khanid Khanate,,10,,,,,,,,,,,,,,,,,,,,,,H,840,1212
